CountryID,Attribute,Value
DOM,construction,0
DOM,e-waste,57000
DOM,hazardous,0
DOM,industrial,0
DOM,medical,0
DOM,domestic,4063910
DZA,agricultural,0
DZA,construction,11000000
DZA,e-waste,252000
DZA,hazardous,330000
DZA,industrial,2547000
DZA,medical,30000
DZA,domestic,12378740
ECU,agricultural,0
ECU,construction,0
ECU,e-waste,73000
ECU,hazardous,193812
ECU,industrial,0
ECU,medical,11292
ECU,domestic,5297211.143
EGY,agricultural,30000000
EGY,construction,4000000
EGY,e-waste,497000
EGY,hazardous,380000
EGY,industrial,6000000
EGY,medical,28300
EGY,domestic,21000000
ERI,agricultural,0
ERI,construction,0
ERI,e-waste,3800
ERI,hazardous,0
ERI,industrial,0
ERI,medical,0
ERI,domestic,726957.37
ESP,agricultural,8058640
ESP,construction,52155411
ESP,e-waste,1202597
ESP,hazardous,2984518
ESP,industrial,0
ESP,medical,2990346
ESP,domestic,22408548
EST,agricultural,149633
EST,construction,18094986
EST,e-waste,34312
EST,hazardous,10410321
EST,industrial,0
EST,medical,1750157
EST,domestic,489511.7188
ETH,agricultural,0
ETH,construction,0
ETH,e-waste,49000
ETH,hazardous,0
ETH,industrial,0
ETH,medical,0
ETH,domestic,6532786.97
FIN,agricultural,1079091
FIN,construction,84662998
FIN,e-waste,212954
FIN,hazardous,1998693
FIN,industrial,0
FIN,medical,1006713
FIN,domestic,3124497.75
FJI,agricultural,0
FJI,construction,0
FJI,e-waste,4600
FJI,hazardous,0
FJI,industrial,0
FJI,medical,316.16
FJI,domestic,189389.594
FRA,agricultural,11304163
FRA,construction,236301207
FRA,e-waste,2218682
FRA,hazardous,10783405
FRA,industrial,0
FRA,medical,4867183
FRA,domestic,36748820
FRO,agricultural,0
FRO,construction,0
FRO,e-waste,0
FRO,hazardous,0
FRO,industrial,0
FRO,medical,0
FRO,domestic,61000
FSM,agricultural,0
FSM,construction,0
FSM,e-waste,200
FSM,hazardous,0
FSM,industrial,0
FSM,medical,73.47
FSM,domestic,26039.57
GAB,agricultural,0
GAB,construction,0
GAB,e-waste,14000
GAB,hazardous,0
GAB,industrial,0
GAB,medical,0
GAB,domestic,238102.31
GBR,agricultural,10365788
GBR,construction,156803699
GBR,e-waste,3584126
GBR,hazardous,5755258
GBR,industrial,0
GBR,medical,4218205
GBR,domestic,30771140
GEO,agricultural,0
GEO,construction,0
GEO,e-waste,21000
GEO,hazardous,0
GEO,industrial,0
GEO,medical,0
GEO,domestic,800000
GHA,agricultural,0
GHA,construction,0
GHA,e-waste,39000
GHA,hazardous,0
GHA,industrial,0
GHA,medical,0
GHA,domestic,3538274.978
GIB,agricultural,0
GIB,construction,30000
GIB,e-waste,201.44
GIB,hazardous,58995.04
GIB,industrial,0
GIB,medical,0
GIB,domestic,16954
GIN,agricultural,0
GIN,construction,0
GIN,e-waste,8000
GIN,hazardous,0
GIN,industrial,0
GIN,medical,0
GIN,domestic,596911
GMB,agricultural,0
GMB,construction,0
GMB,e-waste,2200
GMB,hazardous,0
GMB,industrial,0
GMB,medical,0
GMB,domestic,193440.54
GNB,agricultural,0
GNB,construction,0
GNB,e-waste,1000
GNB,hazardous,0
GNB,industrial,0
GNB,medical,0
GNB,domestic,289514
GNQ,agricultural,0
GNQ,construction,0
GNQ,e-waste,0
GNQ,hazardous,0
GNQ,industrial,0
GNQ,medical,0
GNQ,domestic,198443.06
GRC,agricultural,575225
GRC,construction,59985396
GRC,e-waste,188460
GRC,hazardous,221041
GRC,industrial,0
GRC,medical,251623
GRC,domestic,5615352.5
GRD,agricultural,0
GRD,construction,0
GRD,e-waste,800
GRD,hazardous,0
GRD,industrial,0
GRD,medical,0
GRD,domestic,29536.11394
GRL,agricultural,0
GRL,construction,0
GRL,e-waste,0
GRL,hazardous,730
GRL,industrial,0
GRL,medical,0
GRL,domestic,50000
GTM,agricultural,0
GTM,construction,0
GTM,e-waste,55000
GTM,hazardous,10051
GTM,industrial,0
GTM,medical,818.6
GTM,domestic,2756740.971
GUM,agricultural,0
GUM,construction,0
GUM,e-waste,0
GUM,hazardous,0
GUM,industrial,0
GUM,medical,0
GUM,domestic,141500
GUY,agricultural,0
GUY,construction,0
GUY,e-waste,5000
GUY,hazardous,741.78
GUY,industrial,0
GUY,medical,0
GUY,domestic,179251.5
HKG,agricultural,0
HKG,construction,1533000
HKG,e-waste,70000
HKG,hazardous,54812
HKG,industrial,0
HKG,medical,2268
HKG,domestic,5679816.465
HND,agricultural,0
HND,construction,0
HND,e-waste,1700
HND,hazardous,253.14
HND,industrial,0
HND,medical,0
HND,domestic,2162027.696
HRV,agricultural,395664
HRV,construction,805354
HRV,e-waste,58078
HRV,hazardous,130326
HRV,industrial,0
HRV,medical,56814
HRV,domestic,1810037.5
HTI,agricultural,0
HTI,construction,0
HTI,e-waste,6000
HTI,hazardous,0
HTI,industrial,0
HTI,medical,0
HTI,domestic,2309852.455
HUN,agricultural,699238
HUN,construction,7605276
HUN,e-waste,50066
HUN,hazardous,596554
HUN,industrial,0
HUN,medical,489182
HUN,domestic,3780970.25
IDN,agricultural,122000000
IDN,construction,0
IDN,e-waste,1274000
IDN,hazardous,23000000
IDN,industrial,0
IDN,medical,82125
IDN,domestic,65200000
IMN,agricultural,0
IMN,construction,122965
IMN,e-waste,0
IMN,hazardous,0
IMN,industrial,48783
IMN,medical,0
IMN,domestic,50551
IND,agricultural,0
IND,construction,27500000
IND,e-waste,1700000
IND,hazardous,7467000
IND,industrial,0
IND,medical,180784.5
IND,domestic,189750000
IRL,agricultural,554285
IRL,construction,7898378
IRL,e-waste,212874
IRL,hazardous,482907
IRL,industrial,0
IRL,medical,776112
IRL,domestic,2910655
IRN,agricultural,16049000
IRN,construction,80000000
IRN,e-waste,630000
IRN,hazardous,8000000
IRN,industrial,30000000
IRN,medical,1609650
IRN,domestic,17885000
IRQ,agricultural,0
IRQ,construction,0
IRQ,e-waste,221000
IRQ,hazardous,20622
IRQ,industrial,0
IRQ,medical,0
IRQ,domestic,13140000
ISL,agricultural,5000
ISL,construction,1000
ISL,e-waste,7600
ISL,hazardous,7000
ISL,industrial,10000
ISL,medical,0
ISL,domestic,225270.4063
ISR,agricultural,0
ISR,construction,7000000
ISR,e-waste,120000
ISR,hazardous,321000
ISR,industrial,0
ISR,medical,0
ISR,domestic,5400000
ITA,agricultural,6921585
ITA,construction,61938678
ITA,e-waste,2800026
ITA,hazardous,8923548
ITA,industrial,0
ITA,medical,16071024
ITA,domestic,30088400
JAM,agricultural,0
JAM,construction,0
JAM,e-waste,17000
JAM,hazardous,10000
JAM,industrial,0
JAM,medical,206.58
JAM,domestic,1051694.575
JOR,agricultural,4000000
JOR,construction,0
JOR,e-waste,43000
JOR,hazardous,1230441
JOR,industrial,45000
JOR,medical,4000
JOR,domestic,2529997
JPN,agricultural,35109000
JPN,construction,72690000
JPN,e-waste,518978
JPN,hazardous,3600000
JPN,industrial,392840000
JPN,medical,320000
JPN,domestic,42720000
KAZ,agricultural,0
KAZ,construction,0
KAZ,e-waste,147000
KAZ,hazardous,0
KAZ,industrial,0
KAZ,medical,0
KAZ,domestic,4659740
KEN,agricultural,0
KEN,construction,0
KEN,e-waste,17350
KEN,hazardous,0
KEN,industrial,0
KEN,medical,909182
KEN,domestic,5595099
KGZ,agricultural,17900
KGZ,construction,3600
KGZ,e-waste,7200
KGZ,hazardous,4771346
KGZ,industrial,0
KGZ,medical,0
KGZ,domestic,1113300
KHM,agricultural,0
KHM,construction,0
KHM,e-waste,14000
KHM,hazardous,0
KHM,industrial,0
KHM,medical,147.09
KHM,domestic,1089000
KIR,agricultural,0
KIR,construction,0
KIR,e-waste,100
KIR,hazardous,0
KIR,industrial,766.5
KIR,medical,16.22
KIR,domestic,35723.8275
K0,agricultural,0
K0,construction,0
K0,e-waste,700
K0,hazardous,0
K0,industrial,0
K0,medical,0
K0,domestic,32892.14
KOR,agricultural,0
KOR,construction,68119600
KOR,e-waste,570635
KOR,hazardous,0
KOR,industrial,39810000
KOR,medical,0
KOR,domestic,20452776
KWT,agricultural,0
KWT,construction,1149000
KWT,e-waste,67000
KWT,hazardous,203000
KWT,industrial,7000
KWT,medical,33000
KWT,domestic,1750000
LAO,agricultural,0
LAO,construction,0
LAO,e-waste,7500
LAO,hazardous,5200
LAO,industrial,49500
LAO,medical,1200
LAO,domestic,351900
LBN,agricultural,0
LBN,construction,0
LBN,e-waste,51000
LBN,hazardous,46000
LBN,industrial,0
LBN,medical,5568
LBN,domestic,2040000
LBR,agricultural,0
LBR,construction,0
LBR,e-waste,0
LBR,hazardous,0
LBR,industrial,0
LBR,medical,0
LBR,domestic,564466.7
LBY,agricultural,0
LBY,construction,3641150
LBY,e-waste,70000
LBY,hazardous,0
LBY,industrial,0
LBY,medical,0
LBY,domestic,2147596.472
LCA,agricultural,0
LCA,construction,0
LCA,e-waste,1600
LCA,hazardous,2732
LCA,industrial,0
LCA,medical,49.63
LCA,domestic,77616.228
LIE,agricultural,2612
LIE,construction,513728
LIE,e-waste,293
LIE,hazardous,1204
LIE,industrial,0
LIE,medical,127
LIE,domestic,32382
LKA,agricultural,0
LKA,construction,65700
LKA,e-waste,72.5
LKA,hazardous,0
LKA,industrial,53000
LKA,medical,9855
LKA,domestic,2631650
LSO,agricultural,0
LSO,construction,0
LSO,e-waste,1800
LSO,hazardous,0
LSO,industrial,0
LSO,medical,0
LSO,domestic,73457
LTU,agricultural,551038
LTU,construction,3011590
LTU,e-waste,82691
LTU,hazardous,165477
LTU,industrial,0
LTU,medical,70124
LTU,domestic,1315390.375
LUX,agricultural,95427
LUX,construction,6272673
LUX,e-waste,7398
LUX,hazardous,237180
LUX,industrial,0
LUX,medical,47825
LUX,domestic,490337.75
LVA,agricultural,105480
LVA,construction,671423
LVA,e-waste,25071
LVA,hazardous,104142
LVA,industrial,0
LVA,medical,65624
LVA,domestic,839714.375
MAC,agricultural,0
MAC,construction,52000
MAC,e-waste,11000
MAC,hazardous,3118
MAC,industrial,0
MAC,medical,11493
MAC,domestic,377942
MAF,agricultural,0
MAF,construction,0
MAF,e-waste,0
MAF,hazardous,0
MAF,industrial,0
MAF,medical,0
MAF,domestic,15479.5
MAR,agricultural,0
MAR,construction,7000000
MAR,e-waste,30300
MAR,hazardous,289385
MAR,industrial,1599710.62
MAR,medical,21000
MAR,domestic,6852000
MCO,agricultural,0
MCO,construction,0
MCO,e-waste,0
MCO,hazardous,312.07
MCO,industrial,0
MCO,medical,0
MCO,domestic,46000
MDA,agricultural,0
MDA,construction,1400000
MDA,e-waste,6300
MDA,hazardous,418
MDA,industrial,2841700
MDA,medical,15700
MDA,domestic,3981200
MDG,agricultural,0
MDG,construction,0
MDG,e-waste,14000
MDG,hazardous,45957
MDG,industrial,0
MDG,medical,0
MDG,domestic,3768759.16
MDV,agricultural,0
MDV,construction,6161.2
MDV,e-waste,3003.95
MDV,hazardous,15105.525
MDV,industrial,0
MDV,medical,1737.4
MDV,domestic,211505.78
MEX,agricultural,0
MEX,construction,6000000
MEX,e-waste,957900
MEX,hazardous,18172.49
MEX,industrial,0
MEX,medical,978.06
MEX,domestic,53100000
MHL,agricultural,0
MHL,construction,0
MHL,e-waste,0
MHL,hazardous,0
MHL,industrial,0
MHL,medical,43.16
MHL,domestic,8614
MKD,agricultural,91933
MKD,construction,121551
MKD,e-waste,1220
MKD,hazardous,40797
MKD,industrial,0
MKD,medical,951293
MKD,domestic,626970.375
MLI,agricultural,0
MLI,construction,0
MLI,e-waste,12000
MLI,hazardous,0
MLI,industrial,0
MLI,medical,0
MLI,domestic,1937354.44
MLT,agricultural,16607
MLT,construction,1258426
MLT,e-waste,7643
MLT,hazardous,36523
MLT,industrial,106235
MLT,medical,23418
MLT,domestic,348841.1875
MMR,agricultural,0
MMR,construction,0
MMR,e-waste,55000
MMR,hazardous,0
MMR,industrial,54750
MMR,medical,648.2
MMR,domestic,4677306.529
MNE,agricultural,0
MNE,construction,92228
MNE,e-waste,6200
MNE,hazardous,3819.21
MNE,industrial,453791.52
MNE,medical,2331.4
MNE,domestic,329780.3125
MNG,agricultural,0
MNG,construction,126300
MNG,e-waste,14000
MNG,hazardous,0
MNG,industrial,81400
MNG,medical,967.25
MNG,domestic,2900000
MNP,agricultural,0
MNP,construction,0
MNP,e-waste,0
MNP,hazardous,0
MNP,industrial,0
MNP,medical,0
MNP,domestic,32761.4145
MOZ,agricultural,0
MOZ,construction,0
MOZ,e-waste,17000
MOZ,hazardous,0
MOZ,industrial,0
MOZ,medical,0
MOZ,domestic,2500000
MRT,agricultural,0
MRT,construction,0
MRT,e-waste,5100
MRT,hazardous,0
MRT,industrial,0
MRT,medical,0
MRT,domestic,454000
MUS,agricultural,0
MUS,construction,0
MUS,e-waste,11000
MUS,hazardous,17000
MUS,industrial,0
MUS,medical,0
MUS,domestic,438000
MWI,agricultural,0
MWI,construction,0
MWI,e-waste,9500
MWI,hazardous,0
MWI,industrial,0
MWI,medical,0
MWI,domestic,1297844.48
MYS,agricultural,42000000
MYS,construction,0
MYS,e-waste,280000
MYS,hazardous,2918478
MYS,industrial,831835
MYS,medical,19500
MYS,domestic,12982685
0M,agricultural,0
0M,construction,0
0M,e-waste,14000
0M,hazardous,0
0M,industrial,0
0M,medical,0
0M,domestic,256729
NCL,agricultural,0
NCL,construction,0
NCL,e-waste,0
NCL,hazardous,0
NCL,industrial,0
NCL,medical,324
NCL,domestic,108157.384
NER,agricultural,0
NER,construction,0
NER,e-waste,7900
NER,hazardous,554000
NER,industrial,0
NER,medical,0
NER,domestic,1865645.67
NGA,agricultural,0
NGA,construction,0
NGA,e-waste,277000
NGA,hazardous,0
NGA,industrial,0
NGA,medical,0
NGA,domestic,27614830.07
NIC,agricultural,0
NIC,construction,0
NIC,e-waste,10800
NIC,hazardous,2837
NIC,industrial,0
NIC,medical,0
NIC,domestic,1528816.293
NLD,agricultural,14718640
NLD,construction,96206470
NLD,e-waste,534410
NLD,hazardous,4830495
NLD,industrial,0
NLD,medical,2391871
NLD,domestic,8805088
NOR,agricultural,399805
NOR,construction,3030449
NOR,e-waste,150000
NOR,hazardous,1482000
NOR,industrial,415000
NOR,medical,1054590
NOR,domestic,4149967.25
NPL,agricultural,0
NPL,construction,0
NPL,e-waste,23000
NPL,hazardous,5051
NPL,industrial,0
NPL,medical,13408.27
NPL,domestic,1768977.49
NRU,agricultural,0
NRU,construction,0
NRU,e-waste,0
NRU,hazardous,0
NRU,industrial,0
NRU,medical,0
NRU,domestic,6191.7505
NZL,agricultural,132.5342
NZL,construction,3000000
NZL,e-waste,95000
NZL,hazardous,0
NZL,industrial,1750000
NZL,medical,0
NZL,domestic,3405000
OMN,agricultural,0
OMN,construction,735341
OMN,e-waste,59000
OMN,hazardous,1469835
OMN,industrial,0
OMN,medical,4500
OMN,domestic,1734885.15
PAK,agricultural,82120000
PAK,construction,0
PAK,e-waste,301000
PAK,hazardous,1538000
PAK,industrial,0
PAK,medical,292000000
PAK,domestic,30760000
PAN,agricultural,0
PAN,construction,0
PAN,e-waste,3200
PAN,hazardous,0
PAN,industrial,0
PAN,medical,3094.7
PAN,domestic,1472262.215
PER,agricultural,0
PER,construction,0
PER,e-waste,182000
PER,hazardous,660180.1793
PER,industrial,0
PER,medical,7176
PER,domestic,8356711.13
PHL,agricultural,0
PHL,construction,0
PHL,e-waste,290000
PHL,hazardous,4332222.32
PHL,industrial,0
PHL,medical,0
PHL,domestic,14631922.9
PLW,agricultural,0
PLW,construction,0
PLW,e-waste,200
PLW,hazardous,0
PLW,industrial,0
PLW,medical,10.92
PLW,domestic,9426.7455
PNG,agricultural,0
PNG,construction,0
PNG,e-waste,7000
PNG,hazardous,0
PNG,industrial,0
PNG,medical,572
PNG,domestic,1000000
POL,agricultural,4679634
POL,construction,135184220
POL,e-waste,224452
POL,hazardous,1679051
POL,industrial,0
POL,medical,2486818
POL,domestic,12758213
PRI,agricultural,0
PRI,construction,0
PRI,e-waste,946.44
PRI,hazardous,4.92
PRI,industrial,0
PRI,medical,0
PRI,domestic,4170953
PRT,agricultural,183064
PRT,construction,2743219
PRT,e-waste,170078
PRT,hazardous,701228
PRT,industrial,0
PRT,medical,817492
PRT,domestic,5268211
PRY,agricultural,0
PRY,construction,0
PRY,e-waste,34200
PRY,hazardous,0
PRY,industrial,0
PRY,medical,0
PRY,domestic,1818501.365
PSE,agricultural,440000
PSE,construction,0
PSE,e-waste,0
PSE,hazardous,62621
PSE,industrial,131344
PSE,medical,4572
PSE,domestic,1387000
PYF,agricultural,0
PYF,construction,0
PYF,e-waste,0
PYF,hazardous,0
PYF,industrial,0
PYF,medical,360
PYF,domestic,147000
QAT,agricultural,0
QAT,construction,9706885
QAT,e-waste,29000
QAT,hazardous,105000
QAT,industrial,64000
QAT,medical,450000
QAT,domestic,1000990.016
ROU,agricultural,1063964
ROU,construction,162995232
ROU,e-waste,132268
ROU,hazardous,590300
ROU,industrial,0
ROU,medical,915888
ROU,domestic,5419832.5
RUS,agricultural,0
RUS,construction,0
RUS,e-waste,1392000
RUS,hazardous,110000000
RUS,industrial,0
RUS,medical,0
RUS,domestic,60000000
RWA,agricultural,0
RWA,construction,0
RWA,e-waste,5900
RWA,hazardous,0
RWA,industrial,0
RWA,medical,0
RWA,domestic,4384969
SAU,agricultural,0
SAU,construction,0
SAU,e-waste,508000
SAU,hazardous,697000
SAU,industrial,0
SAU,medical,25207
SAU,domestic,16125700.58
SDN,agricultural,0
SDN,construction,0
SDN,e-waste,51000
SDN,hazardous,0
SDN,industrial,0
SDN,medical,0
SDN,domestic,2831291
SEN,agricultural,0
SEN,construction,0
SEN,e-waste,15000
SEN,hazardous,0
SEN,industrial,0
SEN,medical,0
SEN,domestic,2454059.25
SGP,agricultural,0
SGP,construction,1609300
SGP,e-waste,100000
SGP,hazardous,446870
SGP,industrial,0
SGP,medical,0
SGP,domestic,1870000
SLB,agricultural,0
SLB,construction,0
SLB,e-waste,400
SLB,hazardous,0
SLB,industrial,0
SLB,medical,273.34
SLB,domestic,179971.9644
SLE,agricultural,0
SLE,construction,0
SLE,e-waste,3400
SLE,hazardous,0
SLE,industrial,0
SLE,medical,0
SLE,domestic,610222.09
SLV,agricultural,0
SLV,construction,0
SLV,e-waste,30100
SLV,hazardous,16465
SLV,industrial,0
SLV,medical,0
SLV,domestic,1648996.18
SMR,agricultural,0
SMR,construction,0
SMR,e-waste,0
SMR,hazardous,0
SMR,industrial,0
SMR,medical,0
SMR,domestic,17174.68
SOM,agricultural,0
SOM,construction,0
SOM,e-waste,0
SOM,hazardous,0
SOM,industrial,0
SOM,medical,0
SOM,domestic,2326099.17
SRB,agricultural,199453
SRB,construction,46707848
SRB,e-waste,14388
SRB,hazardous,13475026
SRB,industrial,0
SRB,medical,32888
SRB,domestic,2347401.5
SSD,agricultural,0
SSD,construction,0
SSD,e-waste,0
SSD,hazardous,0
SSD,industrial,0
SSD,medical,0
SSD,domestic,2680681
STP,agricultural,0
STP,construction,0
STP,e-waste,200
STP,hazardous,0
STP,industrial,0
STP,medical,0
STP,domestic,25586.5
SUR,agricultural,0
SUR,construction,0
SUR,e-waste,5000
SUR,hazardous,0
SUR,industrial,0
SUR,medical,1270.2
SUR,domestic,78619.79915
SVK,agricultural,920337
SVK,construction,4023409
SVK,e-waste,30911
SVK,hazardous,375688
SVK,industrial,0
SVK,medical,558605
SVK,domestic,2296164.75
SVN,agricultural,289773
SVN,construction,2071792
SVN,e-waste,26359
SVN,hazardous,155229
SVN,industrial,0
